client_name,truck_size,truck_origin_warehouse,delivery_timestamp,total_weight,brand_1_coffee_proportion,driver_id,is_fresh_client,postcode,business_category,floor,partnership_level,box_count,brand_2_coffee_proportion,brand_3_coffee_proportion,final_time
Amigó Ltd,Van,Baró de Viver,2022-04-28 18:56:43,9.86,0.85,D84,False,08030,Cafe/Restaurant,Street level,Regular,2,0.003478018567248293,0.14652198143275172,231.42335479763045
Amigó Ltd,Van,Baró de Viver,2022-02-25 20:32:46,83.91,0.55,D84,False,08030,Cafe/Restaurant,Street level,Regular,10,0.3628709319651339,0.08712906803486603,366.2858315300931
Amigó Ltd,Van,Baró de Viver,2022-03-25 13:11:07,25.45,0.65,D84,False,08030,Cafe/Restaurant,Street level,Regular,3,0.11810012970544333,0.23189987029455666,222.2547016978505
Amigó Ltd,Truck,Zona Franca,2022-01-20 19:00:59,115.89,0.49,D84,False,08030,Cafe/Restaurant,Street level,Regular,13,0.14050021836268212,0.3694997816373179,665.1482564865138
Gutiérrez LLC,Van,Baró de Viver,2022-04-23 08:40:26,107.64,0.76,D84,False,08002,Hotels,Ground Floor,Key Account,14,0.18297482249360525,0.05702517750639474,988.6314350229756
Gutiérrez LLC,Combi,Baró de Viver,2022-03-06 20:24:16,39.13,0.78,D84,False,08002,Hotels,Ground Floor,Key Account,7,0.1775485867758021,0.042451413224197876,317.4342213415796
Gutiérrez LLC,Truck,Baró de Viver,2022-01-14 17:28:42,84.85,0.75,D84,False,08002,Hotels,Ground Floor,Key Account,13,0.023353082369386935,0.22664691763061307,625.4328612207219
Gutiérrez LLC,Van,Baró de Viver,2022-01-09 10:06:37,81.86,0.88,D84,False,08002,Hotels,Ground Floor,Key Account,16,0.08846463094935185,0.031535369050648146,1057.8169002989152
"Daza, Salcedo and Colomer",Truck,Zona Franca,2022-04-19 13:46:40,91.62,0.49,D84,False,08037,Coffee Retailers,Street level,Regular,12,0.1488472319105557,0.3611527680894443,486.56952590763376
"Daza, Salcedo and Colomer",Van,Baró de Viver,2022-02-01 13:15:04,49.27,0.59,D84,False,08037,Coffee Retailers,Street level,Regular,7,0.32310113356617853,0.0868988664338215,260.62129264757834
